name,price,size_mm,color,rpm,airflow_cfm,noise_level_db,pwm,original_price
Corsair ML140 Pro,0.3527628240826682,0.5263157894736842,Black / White,0.1282051282051282,0.0180205825598293,0.3119468851377357,True,61.5
Corsair ML140 Pro,0.3527628240826682,0.5263157894736842,Black / White,0.1282051282051282,0.0180205825598293,0.3119468851377357,True,40.36
Fractal Design Aspect 14 RGB 3-Pack,0.2403316626446383,0.5263157894736842,Black,0.1025641025641025,0.0003280349775469,0.2230769230769231,False,43.33
Corsair ML120 Pro,0.205865973640245,0.4210526315789473,Black / Blue,0.1538461538461538,0.0109470056567962,0.3119468851377357,True,13.81
Corsair ML120 Pro,0.205865973640245,0.4210526315789473,Black / Blue,0.1538461538461538,0.0109470056567962,0.3119468851377357,True,32.20846315789474
Corsair ML120 Pro,0.205865973640245,0.4210526315789473,Black / Blue,0.1538461538461538,0.0109470056567962,0.3119468851377357,True,32.20846315789474
Corsair ML120 Pro,0.205865973640245,0.4210526315789473,Black / Blue,0.1538461538461538,0.0109470056567962,0.3119468851377357,True,37.76
GAMDIAS AEOLUS M2-1203 LITE 3-Pack,0.1454117938246395,0.4210526315789473,Black,0.1282051282051282,0.0003770853283344,0.3119468851377357,False,27.99
Cooler Master R4-SPS-20AK-GP,0.0340325474908731,0.2105263157894736,Black,0.2307692307692307,0.0001834655225944,0.2307692307692307,False,9.99
Antec Prizm 3+2+C 3-Pack,0.5723655714374112,0.4210526315789473,Black,0.2307692307692307,0.0003627144360861,0.4246153846153847,True,96.99
Iceberg Thermal IceGALE ARGB 3-Pack,0.1887259451766599,0.4210526315789473,Teal / White,0.1474358974358974,0.0007841171866233,0.3119468851377357,True,34.99
Iceberg Thermal IceGALE ARGB 3-Pack,0.1887259451766599,0.4210526315789473,Teal / White,0.1474358974358974,0.0007841171866233,0.3119468851377357,True,34.99
ARCTIC BioniX P140,0.1715145297809216,0.5263157894736842,White / Gray,0.1121794871794872,0.0006429898615506,0.3119468851377357,True,21.99
ARCTIC BioniX P140,0.1715145297809216,0.5263157894736842,White / Gray,0.1121794871794872,0.0006429898615506,0.3119468851377357,True,16.71
ARCTIC BioniX P140,0.1715145297809216,0.5263157894736842,White / Gray,0.1121794871794872,0.0006429898615506,0.3119468851377357,True,15.42
ARCTIC BioniX P140,0.1715145297809216,0.5263157894736842,White / Gray,0.1121794871794872,0.0006429898615506,0.3119468851377357,True,32.20846315789474
Silverstone Air Slimmer,0.0859476517542231,0.2736842105263158,Black,0.1666666666666666,0.0041659917874238,0.3119468851377357,True,18.38
