name,price,rpm,noise_level_db,color,size_mm,original_price
Phanteks Glacier One 240MPH,0.1083712586119682,0.0709534368070953,0.4660714285714286,Black,0.4,102.19361725663715
ID-COOLING SE-225-XT BLACK V2,0.1083712586119682,0.0620842572062084,0.45,Unknown,0.4896551724137931,102.19361725663715
Cooler Master Hyper 212 RGB,0.1083712586119682,0.0598669623059866,0.3125,Unknown,0.4896551724137931,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
Thermalright Frozen Magic EX,0.1083712586119682,0.1152993348115299,0.5285714285714286,Black,0.4,102.19361725663715
ID-COOLING DASHFLOW XT LITE,0.1083712586119682,0.0620842572062084,0.5330357142857143,White,0.8000000000000002,79.98
ID-COOLING DASHFLOW XT LITE,0.1083712586119682,0.0620842572062084,0.5330357142857143,White,0.8000000000000002,79.98
ID-COOLING DASHFLOW XT LITE,0.1083712586119682,0.0620842572062084,0.5330357142857143,White,0.8000000000000002,102.19361725663715
ID-COOLING DASHFLOW XT LITE,0.1083712586119682,0.0620842572062084,0.5330357142857143,White,0.8000000000000002,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
ID-COOLING SPACE LCD,0.1083712586119682,0.0532150776053215,0.6285714285714286,Black,0.4,102.19361725663715
