id,name,performance_score,percentage_rating,price,details_link,class,socket,clock_speed_(ghz),turbo_speed_(ghz),cores,threads,tdp,performance_per_dollar,thread-to-core_ratio,estimated_release_year,original_price
rk6187,AMD Ryzen 9 5900XT,0.2277465117053514,24.0,0.0191865922019466,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5900XT&id=6187,Desktop,AM4,3.3,4.8,16.0,32.0,105.0,136.46717491280594,2.0,2020.0,323.99
rk4813,Intel Core i9-12900KS,0.2256951613440341,23.0,0.0176687031123023,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KS&id=4813,Desktop,LGA 1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,144.665568369028,1.884240058550866,2021.0,303.5
rk6324,Intel Core Ultra 5 245K,0.2256285590595757,23.0,0.0184983935859,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Ultra+5+245K&id=6324,Desktop,FCLGA1851,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,139.48522402287892,1.884240058550866,2024.0,314.7
rk6336,Intel Core Ultra 5 245KF,0.2250158180425588,23.0,0.0148159013142445,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+Ultra+5+245KF&id=6336,Desktop,FCLGA1851,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,165.30435110758896,1.884240058550866,2024.0,264.99
rk4597,Intel Core i9-12900K,0.2091511538845782,22.0,0.0165945502670195,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900K&id=4597,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,143.32871972318338,1.884240058550866,2021.0,289.0
rk4611,Intel Core i9-12900KF,0.2069732591827899,22.0,0.0154833576684512,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KF&id=4611,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,149.9817518248175,1.884240058550866,2021.0,274.0
rk5722,Intel Core i5-14600KF,0.194039095540977,21.0,0.0177790815770934,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600KF&id=5722,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,128.37470080986262,1.884240058550866,2023.0,304.99
rk3870,AMD Ryzen 9 5900X,0.1936061806919977,21.0,0.0149410956803498,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5900X&id=3870,Desktop,AM4,3.7,4.8,12.0,24.0,105.0,146.57267136643168,2.0,2020.0,266.68
rk5720,Intel Core i5-14600K,0.1915415098737886,21.0,0.0114830643136052,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-14600K&id=5720,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,176.26363636363635,1.884240058550866,2023.0,220.0
rk5008,Intel Core i5-13600K,0.1854140997036198,20.0,0.0114089848070339,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-13600K&id=5008,Desktop,FCLGA1700,2.903913894324853,4.1507660878447385,16.027370478983382,30.19941348973607,118.19583333333334,172.8675799086758,1.884240058550866,2022.0,219.0
