name,id,details_link,price,average_mark,database_operations,read_cached_mbps,read_uncached_mbps,write_mbps,latency,threaded_mbps,memory_size_gb,original_price
Samsung M378A2G43BB3-CWE 16GB,rk16970,https://www.memorybenchmark.net/ram.php?ram=Samsung+M378A2G43BB3-CWE+16GB&id=16970,0.1890551527136892,0.6565088757396449,5915.0,33802.0,18447.0,12742.0,0.1292134831460674,0.1214655702753344,16,124.96513513513514
Corsair CM4X4GD3000C16K2 4GB,rk13219,https://www.memorybenchmark.net/ram.php?ram=Corsair+CM4X4GD3000C16K2+4GB&id=13219,0.1890551527136892,0.457396449704142,4117.0,30077.0,18446.0,11782.0,0.1235955056179775,0.1186525845187164,4,124.96513513513514
Corsair CMD32GX4M4B2400C10 8GB,rk8645,https://www.memorybenchmark.net/ram.php?ram=Corsair+CMD32GX4M4B2400C10+8GB&id=8645,0.1890551527136892,0.6843195266272188,4846.0,31330.0,18445.0,13384.0,0.0898876404494382,0.099760027425437,8,124.96513513513514
TwinMOS TM16GB3200N 16GB,rk23305,https://www.memorybenchmark.net/ram.php?ram=TwinMOS+TM16GB3200N+16GB&id=23305,0.1890551527136892,0.6449704142011834,7553.0,34588.0,18438.0,14780.0,0.1629213483146067,0.1381744239014563,16,124.96513513513514
SK Hynix HMA82GR7MFR8N-XNC 16GB,rk24499,https://www.memorybenchmark.net/ram.php?ram=SK+Hynix+HMA82GR7MFR8N-XNC+16GB&id=24499,0.1890551527136892,0.5624260355029587,4538.0,30071.0,18438.0,12834.0,0.1741573033707865,0.1076730174085779,16,124.96513513513514
Transcend Information JM2666HLE-32G 32GB,rk22124,https://www.memorybenchmark.net/ram.php?ram=Transcend+Information+JM2666HLE-32G+32GB&id=22124,0.1890551527136892,0.6346153846153846,7570.0,33888.0,18435.0,13607.0,0.1629213483146067,0.0948431725219661,32,124.96513513513514
G Skill Intl F4-4133C19-8GTZA 8GB,rk9274,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-4133C19-8GTZA+8GB&id=9274,0.1890551527136892,0.6387573964497042,5244.0,32657.0,18434.0,13165.0,0.0955056179775281,0.0900155442117769,8,124.96513513513514
G Skill Intl F4-3200C16-16GTZKY 16GB,rk10429,https://www.memorybenchmark.net/ram.php?ram=G+Skill+Intl+F4-3200C16-16GTZKY+16GB&id=10429,0.1890551527136892,0.7627218934911242,7071.0,33199.0,18432.0,15103.0,0.0730337078651685,0.1323418223827257,16,124.96513513513514
Kingston KHX2666C16D4/32GX 32GB,rk14467,https://www.memorybenchmark.net/ram.php?ram=Kingston+KHX2666C16D4%2F32GX+32GB&id=14467,0.1890551527136892,0.6437869822485207,6757.0,33393.0,18425.0,13514.0,0.1573033707865168,0.1197279997745854,32,124.96513513513514
OM Nanotech Pvt.Ltd V1D4S816GB2G82G83200 16GB,rk15594,https://www.memorybenchmark.net/ram.php?ram=OM+Nanotech+Pvt.Ltd+V1D4S816GB2G82G83200+16GB&id=15594,0.1890551527136892,0.7461538461538462,6949.0,33100.0,18421.0,14280.0,0.0898876404494382,0.1149989903306549,816,124.96513513513514
